Time,T2
1600276963.075678,1540.424377
1600276963.075678,1540.425923
1600276963.075678,1540.422831
1600276963.075678,1540.423604
1600276963.075678,1540.426695
1600276963.075678,1540.425923
1600276963.075678,1540.426695
1600276963.075678,1540.422831
1600276963.075678,1540.425150
1600276963.075680,1540.425150
1600276963.075680,1540.423604
1600276963.075680,1540.425150
1600276963.075680,1540.424377
1600276963.075680,1540.425150
1600276963.075680,1540.425923
1600276963.075680,1540.424377
1600276963.075680,1540.424377
1600276963.075680,1540.424377
1600276963.075680,1540.424377
1600276963.075680,1540.422831
1600276963.076987,1540.424377
1600276963.076987,1540.423604
1600276963.076987,1540.422831
1600276963.076987,1540.426695
1600276963.076987,1540.422831
1600276963.076987,1540.425150
1600276963.076987,1540.425150
1600276963.076987,1540.425923
1600276963.076987,1540.427468
1600276963.076987,1540.425150
1600276963.076987,1540.423604
1600276963.076992,1540.425150
1600276963.076992,1540.425923
1600276963.076992,1540.423604
1600276963.076992,1540.425150
1600276963.076992,1540.426695
1600276963.076992,1540.423604
1600276963.076992,1540.422831
1600276963.076992,1540.424377
1600276963.076992,1540.425150
1600276963.076992,1540.425923
1600276963.076992,1540.423604
1600276963.076994,1540.424377
1600276963.076994,1540.426695
1600276963.076994,1540.424377
1600276963.076994,1540.425923
1600276963.076994,1540.425150
1600276963.076994,1540.424377
1600276963.076994,1540.423604
1600276963.076994,1540.425923
1600276963.076994,1540.424377
1600276963.076994,1540.423604
1600276963.076994,1540.424377
1600276963.078299,1540.425923
1600276963.078299,1540.423604
1600276963.078299,1540.426695
1600276963.078299,1540.426695
1600276963.078299,1540.425923
1600276963.078299,1540.422831
1600276963.078299,1540.423604
1600276963.078299,1540.422831
1600276963.078299,1540.425150
1600276963.078299,1540.427468
1600276963.078299,1540.425923
1600276963.078303,1540.423604
1600276963.078303,1540.422831
1600276963.078303,1540.425150
1600276963.078303,1540.425150
1600276963.078303,1540.422831
1600276963.078303,1540.422058
1600276963.078303,1540.424377
1600276963.078303,1540.424377
1600276963.078303,1540.428241
1600276963.078303,1540.425150
1600276963.078303,1540.423604
1600276963.078306,1540.426695
1600276963.078306,1540.423604
1600276963.078306,1540.424377
1600276963.078306,1540.423604
1600276963.078306,1540.423604
1600276963.078306,1540.423604
1600276963.078306,1540.425150
1600276963.078306,1540.425150
1600276963.078306,1540.423604
1600276963.078306,1540.425150
1600276963.078306,1540.422831
1600276963.079615,1540.423604
1600276963.079615,1540.426695
1600276963.079615,1540.425923
1600276963.079615,1540.424377
